City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain (inches),Snow (inches)
75,Nikolsk,RU,53.72,46.07,53.01,88,0,2.53,clear sky,0,0
76,Talnakh,RU,69.49,88.4,42.8,100,75,11.18,broken clouds,0,0
77,Neuquen,AR,-38.95,-68.06,53.6,46,34,6.93,scattered clouds,0,0
78,Zelenoborskiy,RU,66.84,32.36,43.79,75,0,6.2,clear sky,0,0
79,Parrita,CR,9.52,-84.32,71.6,88,75,6.93,broken clouds,0,0
80,Kolaras,IN,25.23,77.6,85.71,60,8,15.3,clear sky,0,0
81,Hermanus,ZA,-34.42,19.23,54.0,91,0,11.14,clear sky,0,0
82,Tautira,PF,-17.73,-149.15,86.0,70,75,4.7,broken clouds,0,0
83,Kodiak,US,57.79,-152.41,53.6,71,1,14.99,clear sky,0,0
84,Busselton,AU,-33.65,115.33,42.01,76,0,9.19,clear sky,0,0
85,Maloy,NO,61.94,5.11,60.8,87,41,8.05,scattered clouds,0,0
86,Sabang,ID,5.89,95.32,83.3,73,86,12.17,light rain,0,0
87,Puerto Del Rosario,ES,28.5,-13.86,71.6,78,20,18.34,few clouds,0,0
88,Namibe,AO,-15.2,12.15,71.76,57,61,5.44,broken clouds,0,0
89,Fasa,IR,28.94,53.65,73.4,23,0,0.6,clear sky,0,0
90,Kuruman,ZA,-27.45,23.43,41.2,67,0,4.32,clear sky,0,0
91,Albany,US,42.6,-73.97,84.0,57,71,5.99,light rain,0,0
92,Saskylakh,RU,71.92,114.08,75.76,36,25,7.18,scattered clouds,0,0
93,Avera,US,33.19,-82.53,86.0,45,1,4.7,clear sky,0,0
94,Mar Del Plata,AR,-38.0,-57.56,55.99,93,23,9.17,few clouds,0,0
95,Soma,TR,39.19,27.61,66.2,93,1,1.99,clear sky,0,0
96,Port Elizabeth,ZA,-33.92,25.57,59.0,44,0,5.82,clear sky,0,0
97,Hasaki,JP,35.73,140.83,75.99,78,20,4.7,few clouds,0,0
98,Provideniya,RU,64.38,-173.3,59.86,39,65,5.86,broken clouds,0,0
99,Carnarvon,AU,-24.87,113.63,51.8,87,0,6.93,clear sky,0,0
100,New Norfolk,AU,-42.78,147.06,48.99,78,51,1.99,broken clouds,0,0
101,Dzialdowo,PL,53.24,20.17,62.76,93,85,5.21,overcast clouds,0,0
102,Georgetown,MY,5.41,100.34,78.01,100,20,3.36,few clouds,0,0
