City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
70,Vila Franca Do Campo,PT,2020-06-17 00:10:37,37.72,-25.43,64.4,88,20,12.75
71,Lebu,CL,2020-06-17 00:10:37,-37.62,-73.65,52.79,92,100,12.66
72,Luanda,AO,2020-06-17 00:05:51,-8.84,13.23,71.6,94,20,5.82
73,Klaksvik,FO,2020-06-17 00:06:04,62.23,-6.59,50.0,93,100,21.92
74,Bexhill,AU,2020-06-17 00:10:37,-28.77,153.35,61.0,100,90,1.12
75,Cidreira,BR,2020-06-17 00:10:38,-30.18,-50.21,63.73,94,2,13.98
76,Necochea,AR,2020-06-17 00:10:38,-38.55,-58.74,57.0,95,100,5.99
77,Shellbrook,CA,2020-06-17 00:10:38,53.22,-106.4,73.4,35,75,1.19
78,Tautira,PF,2020-06-17 00:10:39,-17.73,-149.15,82.4,78,75,18.34
79,Port Blair,IN,2020-06-17 00:09:11,11.67,92.75,80.91,84,100,15.17
80,Nanortalik,GL,2020-06-17 00:10:39,60.14,-45.24,37.69,84,52,11.01
81,Raudeberg,NO,2020-06-17 00:10:40,61.99,5.14,64.99,76,38,2.39
82,Longyearbyen,SJ,2020-06-17 00:10:40,78.22,15.64,37.4,69,75,10.29
83,Hami,CN,2020-06-17 00:10:40,42.8,93.45,82.26,15,0,10.92
84,Umtata,ZA,2020-06-17 00:10:41,-31.59,28.78,46.35,89,63,3.42
85,Hobart,AU,2020-06-17 00:09:27,-42.88,147.33,46.0,65,20,9.17
86,Saint Anthony,US,2020-06-17 00:10:41,45.02,-93.22,89.6,38,1,19.46
87,Muroto,JP,2020-06-17 00:10:41,33.28,134.15,73.4,73,100,4.7
88,Oudtshoorn,ZA,2020-06-17 00:10:42,-33.59,22.2,55.4,62,0,3.36
89,Jamestown,US,2020-06-17 00:06:31,42.1,-79.24,72.0,49,1,9.17
90,Murgab,TM,2020-06-17 00:10:42,37.5,61.97,75.2,41,40,9.17
91,Codrington,AU,2020-06-17 00:10:42,-38.27,141.97,49.23,74,100,5.91
92,Kirakira,SB,2020-06-17 00:00:55,-10.45,161.92,79.93,85,99,7.36
93,Souillac,MU,2020-06-17 00:10:43,-20.52,57.52,69.8,88,75,12.75
94,Saskylakh,RU,2020-06-17 00:10:43,71.92,114.08,61.16,37,3,20.87
95,Tuktoyaktuk,CA,2020-06-17 00:10:43,69.45,-133.04,59.0,72,90,5.82
96,Coquimbo,CL,2020-06-17 00:10:43,-29.95,-71.34,57.2,76,75,13.87
97,Severo-Kurilsk,RU,2020-06-17 00:10:44,50.68,156.12,42.22,91,99,12.17
98,Santiago Del Estero,AR,2020-06-17 00:10:44,-27.8,-64.26,73.98,64,100,7.34
99,Skeldon,GY,2020-06-17 00:10:44,5.88,-57.13,77.45,89,99,3.36
100,Hofn,IS,2020-06-17 00:10:44,64.25,-15.21,49.53,72,0,3.98
101,Mandalgovi,MN,2020-06-17 00:10:44,45.76,106.27,60.26,68,20,21.54
102,Port Alfred,ZA,2020-06-17 00:10:44,-33.59,26.89,55.0,86,10,3.0
103,Padang,ID,2020-06-17 00:10:45,-0.95,100.35,78.84,76,38,4.99
104,Wuchang,CN,2020-06-17 00:10:45,44.91,127.15,69.22,72,94,8.21
105,Qaanaaq,GL,2020-06-17 00:10:45,77.48,-69.36,39.24,71,2,1.92
106,Airai,TL,2020-06-17 00:10:45,-8.93,125.41,64.0,84,92,6.17
107,Pisco,PE,2020-06-17 00:10:45,-13.7,-76.22,64.4,77,4,17.22
108,Shemysheyka,RU,2020-06-17 00:10:46,52.89,45.39,64.0,61,20,1.25
109,Cape Town,ZA,2020-06-17 00:10:46,-33.93,18.42,48.99,93,0,3.36
110,Pahrump,US,2020-06-17 00:10:46,36.21,-115.98,96.01,13,0,11.99
111,Bredasdorp,ZA,2020-06-17 00:10:46,-34.53,20.04,46.4,100,0,3.67
112,Broken Hill,AU,2020-06-17 00:10:46,-31.95,141.43,53.6,76,34,10.29
113,Ponta Do Sol,PT,2020-06-17 00:10:47,32.67,-17.1,68.0,94,40,3.36
114,Kodiak,US,2020-06-17 00:10:47,57.79,-152.41,51.8,87,90,18.34
115,Berlevag,NO,2020-06-17 00:10:47,70.86,29.09,42.55,77,99,17.31
116,Moron,AR,2020-06-17 00:10:47,-34.65,-58.62,71.01,77,17,10.29
117,Isangel,VU,2020-06-17 00:05:57,-19.55,169.27,80.6,74,20,17.22
118,Chanika,TZ,2020-06-17 00:10:48,-5.42,38.02,61.05,82,79,2.51
119,Hithadhoo,MV,2020-06-17 00:10:48,-0.6,73.08,84.4,74,88,9.57
120,Torbay,CA,2020-06-17 00:10:48,47.67,-52.73,62.6,42,90,19.46
121,Radolfzell,DE,2020-06-17 00:10:49,47.73,8.97,55.99,91,37,1.01
122,Thompson,CA,2020-06-17 00:10:49,55.74,-97.86,78.8,29,75,5.82
123,Bethel,US,2020-06-17 00:10:49,41.37,-73.41,70.0,66,69,5.35
124,Los Llanos De Aridane,ES,2020-06-17 00:10:49,28.66,-17.92,73.4,83,100,1.12
125,Labuhan,ID,2020-06-17 00:10:49,-6.88,112.21,78.33,83,28,6.53
126,Akyab,MM,2020-06-17 00:10:49,20.15,92.9,83.35,84,100,20.24
127,Barrow,US,2020-06-17 00:10:50,71.29,-156.79,41.0,75,20,18.34
128,Broome,US,2020-06-17 00:10:50,42.25,-75.83,73.4,40,1,3.36
129,La Ronge,CA,2020-06-17 00:10:50,55.1,-105.28,77.0,29,40,13.87
130,Lingao,CN,2020-06-17 00:10:50,19.91,109.69,81.72,74,0,10.85
131,Kassala,SD,2020-06-17 00:10:51,15.45,36.4,78.24,64,100,18.25
132,Nelson Bay,AU,2020-06-17 00:10:51,-32.72,152.15,61.0,71,20,10.29
133,Mataura,NZ,2020-06-17 00:10:51,-46.19,168.86,47.46,90,100,8.99
134,Ancud,CL,2020-06-17 00:10:51,-41.87,-73.82,51.01,100,75,3.36
135,Upernavik,GL,2020-06-17 00:10:51,72.79,-56.15,32.07,94,76,3.91
136,Deputatskiy,RU,2020-06-17 00:10:52,69.3,139.9,71.62,37,80,12.39
137,Peterhead,GB,2020-06-17 00:10:52,57.51,-1.8,55.0,93,40,3.36
138,Sitka,US,2020-06-17 00:10:52,57.05,-135.33,51.8,76,90,6.93
139,Esperance,AU,2020-06-17 00:10:52,-33.87,121.9,51.8,53,6,20.8
140,Grand-Lahou,CI,2020-06-17 00:10:52,5.14,-5.02,77.99,90,82,10.74
141,Poya,NC,2020-06-17 00:10:53,-21.35,165.15,77.5,57,0,3.13
142,Norman Wells,CA,2020-06-17 00:10:53,65.28,-126.83,69.8,52,40,23.04
143,Usinsk,RU,2020-06-17 00:10:53,65.99,57.53,39.87,70,69,15.97
144,Am Timan,TD,2020-06-17 00:10:53,11.03,20.28,84.13,51,92,8.23
145,Panguna,PG,2020-06-17 00:10:53,-6.32,155.48,75.34,87,98,0.16
146,Novobiryusinskiy,RU,2020-06-17 00:10:54,56.96,97.71,52.88,57,0,2.68
147,Podosinovets,RU,2020-06-17 00:10:54,60.28,47.07,48.25,91,31,7.65
148,Guozhen,CN,2020-06-17 00:10:54,34.37,107.36,65.95,81,100,6.58
149,Alugan,PH,2020-06-17 00:10:54,12.22,125.48,83.7,75,73,3.22
150,Chokurdakh,RU,2020-06-17 00:10:55,70.63,147.92,80.98,29,52,11.81
151,San Jose,US,2020-06-17 00:07:06,37.34,-121.89,75.0,35,20,18.34
152,Reforma,MX,2020-06-17 00:10:55,18.1,-91.02,78.93,89,73,7.61
153,Provideniya,RU,2020-06-17 00:10:55,64.38,-173.3,53.6,66,20,8.95
154,Shelopugino,RU,2020-06-17 00:06:01,51.65,117.56,65.28,72,68,4.56
155,Keelung,TW,2020-06-17 00:10:56,25.13,121.74,91.4,59,75,5.82
156,Dubrovka,RU,2020-06-17 00:10:56,53.69,33.51,59.54,93,0,6.62
157,Konosha,RU,2020-06-17 00:10:56,60.97,40.26,46.31,87,2,7.29
158,Banjar,ID,2020-06-17 00:10:56,-8.19,114.97,80.6,100,40,4.7
159,Agua Prieta,MX,2020-06-17 00:10:56,31.3,-109.57,91.0,20,56,4.0
